campaign_sk,campaign_id,campaign_name,start_date_sk,end_date_sk,campaign_budget
6,CAMP_006,Mega Weekend Bonanza,37,41,241714
24,CAMP_024,Red Tag Clearance,27,55,711892
39,CAMP_039,Midnight Madness,30,91,406601
36,CAMP_036,Shop & Save Spectacular,15,101,297542
47,CAMP_047,"Gift More, Spend Less",104,141,595808
12,CAMP_012,Clearance Countdown,92,145,841755
37,CAMP_037,Early Bird Specials,12,164,989514
7,CAMP_007,New Year Kickoff,47,166,591298
13,CAMP_013,Holiday Shopping Rush,124,172,544045
9,CAMP_009,Back to School Boost,160,196,471504
27,CAMP_027,Limited Time Treasures,2,205,925128
5,CAMP_005,Flash Frenzy Friday,52,205,980860
16,CAMP_016,Loyalty Rewards Blast,13,224,983542
40,CAMP_040,12 Days of Deals,193,227,207440
31,CAMP_031,Double Points Bonanza,139,229,467117
26,CAMP_026,VIP Access Sale,122,235,943946
21,CAMP_021,Black Friday Blowout,168,262,360598
29,CAMP_029,Final Call Frenzy,170,269,965663
41,CAMP_041,Countdown to Savings,233,269,960065
17,CAMP_017,Exclusive Insider Offers,269,274,545298
32,CAMP_032,Cashback Carnival,228,281,440018
11,CAMP_011,End of Season Sale,84,283,469061
28,CAMP_028,Golden Hour Bargains,54,286,400827
1,CAMP_001,Winter Wonders Sale,130,291,502696
44,CAMP_044,Ultimate Value Event,196,296,382846
18,CAMP_018,Birthday Bash Sale,164,298,769068
8,CAMP_008,Festive Fever Promo,179,298,500622
46,CAMP_046,Seasonal Surprise Box,44,299,812394
15,CAMP_015,Deal of the Month,283,299,298069
30,CAMP_030,Instant Gratification Sale,225,305,175155
20,CAMP_020,Price Drop Parade,270,307,890988
43,CAMP_043,Hot Picks Promo,286,313,437832
33,CAMP_033,New Product Launch Promo,309,315,348439
4,CAMP_004,Autumn Deals Drive,247,316,304276
10,CAMP_010,Mid-Year Madness,272,325,997420
14,CAMP_014,Super Savings Week,297,325,691805
50,CAMP_050,Smart Shopper Week,82,328,371952
49,CAMP_049,BOGO Blitz,246,332,570083
25,CAMP_025,Customer Appreciation Week,319,333,374556
22,CAMP_022,Cyber Monday Mania,313,339,734912
34,CAMP_034,Spring Refresh Event,251,340,906201
19,CAMP_019,Weekend Warrior Specials,176,341,523019
38,CAMP_038,Mystery Discount Days,43,342,877725
45,CAMP_045,Happy Hour Discounts,173,342,917340
23,CAMP_023,Green Weekend Deals,146,347,115815
35,CAMP_035,Winter Clearance Carnival,203,352,650535
3,CAMP_003,Summer Sizzle Promo,201,355,490660
2,CAMP_002,Spring Splash Discounts,98,356,382105
42,CAMP_042,New Arrival Showcase,99,357,201922
48,CAMP_048,Cart Crasher Campaign,281,361,355327
