sales_sk,sales_id,customer_sk,product_sk,store_sk,salesperson_sk,campaign_sk,total_amount,date_sk,time_sk
1,SALES_0000001,56504,167,191,1442,3,2421.54,50,929
2,SALES_0000002,59945,100,422,1996,8,2487.22,74,548
3,SALES_0000003,54709,71,411,1388,35,2915.91,276,831
4,SALES_0000004,77739,137,242,1211,6,4086.9,127,1218
5,SALES_0000005,97840,207,380,570,19,2425.33,236,1330
6,SALES_0000006,34490,82,183,1413,36,2984.71,302,706
7,SALES_0000007,11517,6,90,233,18,2786.61,184,1279
8,SALES_0000008,84297,113,74,710,5,521.55,128,779
9,SALES_0000009,29497,15,149,393,32,1579.17,312,92
10,SALES_0000010,89678,3,356,540,15,2673.58,197,1179
11,SALES_0000011,48631,134,44,1946,44,1395.41,241,1057
12,SALES_0000012,63449,112,423,927,44,737.53,253,758
13,SALES_0000013,61944,20,440,1719,16,3543.44,235,1148
14,SALES_0000014,65904,13,383,374,50,2855.3,293,261
15,SALES_0000015,90706,53,225,1974,45,1005.42,300,391
16,SALES_0000016,16236,119,156,1875,35,4769.54,299,945
17,SALES_0000017,38578,50,363,469,42,4971.15,331,172
18,SALES_0000018,43723,164,79,35,49,3882.96,101,557
19,SALES_0000019,32311,147,165,76,44,2470.16,254,1071
20,SALES_0000020,63521,96,264,1485,5,858.25,126,391
21,SALES_0000021,21203,87,346,1235,8,4760.99,147,1128
22,SALES_0000022,57787,2,64,559,41,4662.65,296,225
23,SALES_0000023,12962,174,324,1169,40,3538.99,318,703
24,SALES_0000024,99622,106,128,260,5,3106.96,141,435
25,SALES_0000025,19686,192,419,1554,34,4742.57,290,1359
26,SALES_0000026,76988,139,9,584,17,2968.0,248,1256
27,SALES_0000027,54087,8,189,62,7,1977.04,98,264
28,SALES_0000028,69930,86,317,1395,35,2323.17,305,318
29,SALES_0000029,6979,88,464,328,50,3883.28,293,629
30,SALES_0000030,19204,107,499,965,40,1161.64,330,855
31,SALES_0000031,3011,34,434,1665,40,2939.34,314,1153
32,SALES_0000032,72840,79,332,1982,35,4178.58,298,1212
33,SALES_0000033,16622,52,175,1640,47,1337.27,203,551
34,SALES_0000034,22590,42,293,1647,42,2667.21,232,388
35,SALES_0000035,21038,108,429,581,2,3099.26,39,782
36,SALES_0000036,31441,108,350,1213,39,799.46,325,672
37,SALES_0000037,90425,34,457,834,36,3245.25,323,1188
38,SALES_0000038,17491,40,327,678,11,1029.02,135,1272
39,SALES_0000039,58770,36,346,254,26,3162.89,260,730
40,SALES_0000040,62537,154,158,1944,50,2448.3,293,560
41,SALES_0000041,48514,65,17,265,8,1941.26,67,831
42,SALES_0000042,69880,193,384,294,17,2981.09,244,1141
43,SALES_0000043,95169,205,104,492,3,2084.32,68,269
44,SALES_0000044,88426,209,216,943,48,620.66,121,1250
45,SALES_0000045,94033,59,333,357,8,4386.43,71,707
46,SALES_0000046,83507,104,56,849,10,1979.45,194,819
47,SALES_0000047,40777,92,486,549,47,1232.0,231,647
48,SALES_0000048,31345,23,382,287,10,1948.91,183,1018
49,SALES_0000049,91758,195,363,908,28,2661.6,53,917
50,SALES_0000050,71583,52,51,1580,12,1043.94,169,573
51,SALES_0000051,19502,18,61,1722,19,1985.6,246,1410
52,SALES_0000052,57343,184,137,3,44,4258.15,339,717
53,SALES_0000053,46655,96,33,879,45,4853.3,156,565
54,SALES_0000054,25062,93,480,395,37,3286.83,323,289
55,SALES_0000055,91282,149,478,1765,34,3855.66,277,1341
56,SALES_0000056,16534,57,308,185,47,1867.5,349,1157
57,SALES_0000057,47517,59,409,506,22,1744.24,251,1078
58,SALES_0000058,22372,81,57,557,9,873.29,154,828
59,SALES_0000059,78225,133,203,388,14,4345.0,222,148
60,SALES_0000060,95102,162,118,534,45,4609.2,313,338
61,SALES_0000061,12195,189,316,1759,35,2486.12,278,1229
62,SALES_0000062,904,70,190,1047,50,1162.49,314,142
63,SALES_0000063,64594,126,217,477,49,2651.01,159,885
64,SALES_0000064,44491,158,136,1289,40,602.33,337,999
65,SALES_0000065,61621,190,450,1265,50,2560.25,283,109
66,SALES_0000066,49230,183,171,1227,47,3268.42,226,497
67,SALES_0000067,21480,131,144,1431,16,4386.62,204,350
68,SALES_0000068,35986,152,499,496,18,3665.85,240,1220
69,SALES_0000069,19204,79,188,617,14,2087.63,219,1014
70,SALES_0000070,6637,197,23,266,24,4821.77,168,423
71,SALES_0000071,37435,58,384,1579,5,4527.64,109,232
72,SALES_0000072,8282,185,350,1975,1,880.57,37,743
73,SALES_0000073,59469,197,140,462,11,4898.38,5,357
74,SALES_0000074,45707,105,313,1947,45,2302.8,346,464
75,SALES_0000075,25488,96,66,450,22,4142.42,236,885
76,SALES_0000076,69281,181,366,678,38,3816.4,312,597
77,SALES_0000077,43219,13,45,54,27,1808.32,208,1377
78,SALES_0000078,89687,100,311,901,12,786.66,192,488
79,SALES_0000079,80493,195,263,487,37,1148.15,326,1018
80,SALES_0000080,51432,168,219,1481,3,3417.42,56,1431
81,SALES_0000081,21363,32,352,267,11,579.76,133,1122
82,SALES_0000082,42623,138,234,1056,44,1020.29,341,406
83,SALES_0000083,75760,109,163,1743,22,3586.45,175,188
84,SALES_0000084,9081,135,73,38,7,4357.57,25,378
85,SALES_0000085,34344,132,114,1514,35,2129.06,292,690
86,SALES_0000086,39926,181,293,880,24,3392.26,135,1160
87,SALES_0000087,59195,192,83,555,20,2148.68,272,824
88,SALES_0000088,77108,20,129,607,36,4719.01,305,482
89,SALES_0000089,74419,103,386,615,24,3594.27,143,852
90,SALES_0000090,80930,7,394,341,46,4744.73,267,1356
91,SALES_0000091,95264,86,148,1199,39,1416.44,333,262
92,SALES_0000092,96743,201,143,496,48,2283.94,308,51
93,SALES_0000093,59004,64,210,550,17,4333.07,195,540
94,SALES_0000094,38313,13,437,1940,20,2285.44,273,773
95,SALES_0000095,22974,82,297,541,3,4475.02,51,506
96,SALES_0000096,63963,173,210,603,15,4099.8,206,403
97,SALES_0000097,63698,107,469,876,15,3262.58,185,198
98,SALES_0000098,57063,97,32,1687,45,2224.15,307,796
99,SALES_0000099,90266,160,499,1617,41,2426.82,253,719
100,SALES_0000100,50656,209,69,1723,28,4035.04,152,365
101,SALES_0000101,31967,17,447,697,33,2243.98,315,53
102,SALES_0000102,27242,147,206,567,2,1458.99,46,1143
103,SALES_0000103,6326,148,295,1459,31,1658.74,273,22
104,SALES_0000104,57356,61,269,488,9,4849.08,156,249
